source,seed,n_estimators,oob_score,test_accuracy,test_macro_f1,test_weighted_f1,f1_glioma,f1_meningioma,f1_no_tumor,f1_pituitary,experiment
rf_tree_growth,7,100,0.8724809368191722,0.791,0.7992983851860089,0.7827699360025246,0.7809110629067245,0.6582278481012658,0.9025974025974026,0.855457227138643,augmented_r2
rf_tree_growth,7,200,0.8843273420479303,0.802,0.8108980792939756,0.7944934323773923,0.7889125799573561,0.6702508960573477,0.9144736842105263,0.8699551569506726,augmented_r2
rf_tree_growth,7,300,0.8914079520697168,0.798,0.8070229036980183,0.7903152535458908,0.7784946236559139,0.669051878354204,0.9144736842105263,0.8660714285714286,augmented_r2
rf_tree_growth,7,400,0.8941993464052288,0.808,0.8165545374245743,0.8012877031149847,0.7913978494623656,0.6903914590747331,0.9144736842105263,0.8699551569506726,augmented_r2
rf_tree_growth,7,500,0.8958333333333334,0.803,0.8109378875860269,0.7952676608811271,0.7827956989247312,0.6798561151079137,0.9120521172638436,0.8690476190476191,augmented_r2
rf_tree_growth,8,25,0.801130174291939,0.778,0.7841338687808408,0.7701134306985657,0.7474747474747475,0.644808743169399,0.8770764119601329,0.867175572519084,augmented_r2
rf_tree_growth,8,50,0.8515114379084967,0.806,0.8144973987365292,0.7991492010405054,0.7777777777777778,0.6920289855072463,0.9163879598662207,0.8717948717948718,augmented_r2
rf_tree_growth,8,100,0.8745915032679739,0.806,0.8152958644761924,0.7986223311469214,0.7858627858627859,0.6848816029143898,0.9230769230769231,0.8673621460506706,augmented_r2
rf_tree_growth,8,200,0.8887527233115469,0.801,0.810104406818061,0.7934470347783297,0.7932489451476793,0.6727272727272727,0.9139072847682119,0.8605341246290801,augmented_r2
rf_tree_growth,8,300,0.8922249455337691,0.804,0.8140439048926263,0.7965150029653157,0.7855626326963907,0.6774774774774774,0.9266666666666666,0.8664688427299704,augmented_r2
rf_tree_growth,8,400,0.8943355119825708,0.802,0.8117795441635629,0.7943223346670105,0.7827956989247312,0.6750448833034112,0.9240924092409241,0.8651851851851852,augmented_r2
rf_tree_growth,8,500,0.8952886710239651,0.8,0.8092550525047095,0.7921819089211376,0.7758620689655172,0.6750448833034112,0.9205298013245033,0.8655834564254062,augmented_r2
rf_tree_growth,9,25,0.8018790849673203,0.777,0.7851393666739406,0.769406107196963,0.760914760914761,0.64376130198915,0.8851351351351351,0.8507462686567164,augmented_r2
rf_tree_growth,9,50,0.846677559912854,0.795,0.8025458390737854,0.7863072045959457,0.7901234567901234,0.6519337016574586,0.9019607843137255,0.8661654135338346,augmented_r2
rf_tree_growth,9,100,0.8751361655773421,0.798,0.8066655918037773,0.7896912888916853,0.7824267782426778,0.6666666666666666,0.9144736842105263,0.8630952380952381,augmented_r2
rf_tree_growth,9,200,0.8890250544662309,0.799,0.8071817246323265,0.7900560195174692,0.7754237288135594,0.6654478976234004,0.9180327868852459,0.8698224852071006,augmented_r2
rf_tree_growth,9,300,0.8927015250544662,0.802,0.8100378590665704,0.7934861027872985,0.7756813417190775,0.6678765880217786,0.9180327868852459,0.8785607196401799,augmented_r2
rf_tree_growth,9,400,0.8953567538126361,0.802,0.8109236930504493,0.7939881375353837,0.7796610169491526,0.6714801444043321,0.9205298013245033,0.8720238095238095,augmented_r2
rf_tree_growth,9,500,0.8963099128540305,0.806,0.8145398312691275,0.7982179611439838,0.7813163481953291,0.6798561151079137,0.9210526315789473,0.8759342301943199,augmented_r2
