source,seed,n_estimators,oob_score,test_accuracy,test_macro_f1,test_weighted_f1,f1_glioma,f1_meningioma,f1_no_tumor,f1_pituitary,experiment
rf_tree_growth,4,300,0.8662173202614379,0.808,0.8174551044831966,0.8011104982223898,0.774468085106383,0.6890459363957597,0.9271523178807947,0.879154078549849,baseline
rf_tree_growth,4,400,0.8739787581699346,0.809,0.8186394188646534,0.8021596166635104,0.773784355179704,0.6914893617021277,0.9297658862876255,0.8795180722891566,baseline
rf_tree_growth,4,500,0.8766339869281046,0.811,0.820076048115849,0.8043924825650718,0.773784355179704,0.6936619718309859,0.9266666666666666,0.8861911987860395,baseline
rf_tree_growth,5,25,0.7781862745098039,0.799,0.807998712287889,0.7932933967689726,0.7708333333333334,0.6866197183098591,0.9060402684563759,0.8685015290519877,baseline
rf_tree_growth,5,50,0.8282271241830066,0.811,0.8206968825213221,0.8053493463279104,0.7822410147991543,0.6980802792321117,0.9230769230769231,0.8793893129770992,baseline
rf_tree_growth,5,100,0.8566176470588235,0.805,0.8158049239275013,0.7993236897242962,0.7617021276595745,0.6931034482758621,0.9297658862876255,0.8786482334869432,baseline
rf_tree_growth,5,200,0.8637663398692811,0.808,0.8185749642808455,0.8019371024631113,0.7754237288135594,0.6923076923076923,0.9302325581395349,0.8763358778625954,baseline
rf_tree_growth,5,300,0.8682598039215687,0.804,0.8147389381751794,0.7978465337868449,0.7639484978540773,0.6897746967071057,0.9302325581395349,0.875,baseline
rf_tree_growth,5,400,0.8713235294117647,0.808,0.8189889637601638,0.8016267727423303,0.7711864406779662,0.6912280701754386,0.9364548494983278,0.8770864946889226,baseline
rf_tree_growth,5,500,0.8737745098039216,0.805,0.8166241504682081,0.7987607176879185,0.7711864406779662,0.6865148861646234,0.9364548494983278,0.8723404255319149,baseline
rf_tree_growth,6,25,0.764297385620915,0.787,0.7927960167955026,0.7794128096440179,0.7599164926931107,0.6630630630630631,0.8810289389067524,0.867175572519084,baseline
rf_tree_growth,6,50,0.8204656862745098,0.801,0.8101436673617153,0.7936265743963767,0.7659574468085106,0.6761061946902654,0.9210526315789473,0.8774583963691377,baseline
rf_tree_growth,6,100,0.8486519607843137,0.806,0.8147661387572395,0.7992984565906577,0.7854077253218884,0.6855123674911661,0.9150326797385621,0.8731117824773413,baseline
rf_tree_growth,6,200,0.8631535947712419,0.801,0.810079481165273,0.7940779331725168,0.7658643326039387,0.6829268292682927,0.9180327868852459,0.8734939759036144,baseline
rf_tree_growth,6,300,0.8705065359477124,0.8,0.8089726358724033,0.793364667678117,0.7629310344827587,0.6829268292682927,0.9150326797385621,0.875,baseline
rf_tree_growth,6,400,0.8711192810457516,0.804,0.813403594684335,0.7975024912248407,0.7682403433476395,0.68760907504363,0.9210526315789473,0.8767123287671232,baseline
rf_tree_growth,6,500,0.8743872549019608,0.805,0.8156371232177034,0.7987204566779708,0.7682403433476395,0.688695652173913,0.9302325581395349,0.8753799392097265,baseline
rf_tree_growth,7,25,0.7794117647058824,0.779,0.7850417677782494,0.771460351581339,0.7442827442827443,0.6511627906976745,0.8766233766233766,0.8680981595092024,baseline
rf_tree_growth,7,50,0.8286356209150327,0.807,0.815197862388821,0.801237720376935,0.7623126338329764,0.7,0.9133333333333333,0.885145482388974,baseline
rf_tree_growth,7,100,0.8504901960784313,0.803,0.8120247128996947,0.79692173129603,0.7695652173913043,0.6862068965517242,0.9139072847682119,0.878419452887538,baseline
rf_tree_growth,7,200,0.8649918300653595,0.807,0.8158224471840715,0.8008269504975831,0.7735042735042735,0.688695652173913,0.9169435215946844,0.8841463414634146,baseline
rf_tree_growth,7,300,0.8686683006535948,0.813,0.8211066996769966,0.8071616186846752,0.7854077253218884,0.6979166666666666,0.9139072847682119,0.8871951219512195,baseline
rf_tree_growth,7,400,0.8727532679738562,0.816,0.8252860135106979,0.8100784233204368,0.7854077253218884,0.7013888888888888,0.9271523178807947,0.8871951219512195,baseline
rf_tree_growth,7,500,0.8752042483660131,0.813,0.8225383854327484,0.8066918723280612,0.7863247863247863,0.6935201401050788,0.9271523178807947,0.8831562974203339,baseline
rf_tree_growth,8,25,0.7781862745098039,0.77,0.7751289335664335,0.761026083916084,0.7375,0.6327272727272727,0.86875,0.8615384615384616,baseline
rf_tree_growth,8,50,0.8280228758169934,0.798,0.8050499971878374,0.7911858618208119,0.7610993657505285,0.6807760141093474,0.8996763754045307,0.8786482334869432,baseline
rf_tree_growth,8,100,0.8533496732026143,0.8,0.809533908593522,0.7933166595508415,0.7483870967741936,0.6793103448275862,0.9235880398671097,0.8868501529051988,baseline
rf_tree_growth,8,200,0.8703022875816994,0.803,0.8114002665794817,0.7959586223108733,0.7796610169491526,0.6785079928952042,0.9120521172638436,0.8753799392097265,baseline
rf_tree_growth,8,300,0.8719362745098039,0.802,0.8102220938775062,0.7948185762680204,0.7633262260127932,0.6783831282952548,0.9150326797385621,0.8841463414634146,baseline
rf_tree_growth,8,400,0.8764297385620915,0.802,0.8104839152612342,0.7954646908225654,0.7569892473118279,0.6851211072664359,0.9150326797385621,0.8847926267281107,baseline
rf_tree_growth,8,500,0.8762254901960784,0.803,0.810596484740759,0.7966928244580657,0.7645788336933045,0.6885813148788927,0.9061488673139159,0.8830769230769231,baseline
rf_tree_growth,9,25,0.7753267973856209,0.79,0.7984865039310788,0.7829841323022283,0.7640918580375783,0.6666666666666666,0.9003215434083601,0.8628659476117103,baseline
rf_tree_growth,9,50,0.8288398692810458,0.797,0.8066153932708076,0.7899422479490691,0.7662337662337663,0.6748681898066784,0.9174917491749175,0.8678678678678678,baseline
rf_tree_growth,9,100,0.8519199346405228,0.797,0.8069440562857285,0.7893175479493352,0.7547974413646056,0.6749555950266429,0.9271523178807947,0.8708708708708709,baseline
rf_tree_growth,9,200,0.8690767973856209,0.804,0.8140875640242129,0.797584243495722,0.7652173913043478,0.6909722222222222,0.9266666666666666,0.8734939759036144,baseline
rf_tree_growth,9,300,0.8688725490196079,0.796,0.8051498296261016,0.7889747711921065,0.7592190889370932,0.6724738675958188,0.9144736842105263,0.8744326777609682,baseline
rf_tree_growth,9,400,0.8715277777777778,0.801,0.809802775306538,0.7943673493268779,0.7645788336933045,0.6817391304347826,0.9144736842105263,0.878419452887538,baseline
rf_tree_growth,9,500,0.8735702614379085,0.801,0.8107313491214713,0.7943158427733082,0.7668845315904139,0.6805555555555556,0.9210526315789473,0.8744326777609682,baseline
