epoch tr_q1 tr_median tr_q3 vl_q1 vl_median vl_q3 vl_tumour_q1 vl_tumour_median vl_tumour_q3 n
108 -0.254161 -0.253588 -0.253018 -0.125744 -0.116033 -0.105068 98.214286 98.418367 98.545918 6
109 -0.253805 -0.253582 -0.253015 -0.119070 -0.118075 -0.115777 98.035714 98.418367 98.647959 6
110 -0.253798 -0.253204 -0.252889 -0.119339 -0.112330 -0.102019 97.831633 98.418367 98.622449 6
111 -0.253901 -0.252718 -0.251950 -0.125062 -0.116873 -0.105932 98.188776 98.316327 98.520408 6
112 -0.254104 -0.252535 -0.252300 -0.122316 -0.120342 -0.116425 98.137755 98.469388 98.801020 6
113 -0.252927 -0.252459 -0.252043 -0.126493 -0.112009 -0.102392 98.163265 98.469388 98.545918 6
114 -0.253663 -0.253282 -0.252724 -0.120953 -0.117387 -0.104881 98.035714 98.622449 98.750000 6
115 -0.254158 -0.253543 -0.253084 -0.120367 -0.115136 -0.105543 98.290816 98.418367 98.545918 6
116 -0.254190 -0.253130 -0.252784 -0.118262 -0.113857 -0.101696 97.959184 98.418367 98.801020 6
117 -0.254128 -0.253213 -0.253081 -0.121808 -0.120576 -0.116051 98.290816 98.418367 98.775510 6
118 -0.253852 -0.253219 -0.253042 -0.122633 -0.120791 -0.083009 97.933673 98.265306 98.520408 6
119 -0.253929 -0.253094 -0.252581 -0.121971 -0.118197 -0.101889 98.086735 98.265306 98.750000 6
120 -0.254672 -0.253718 -0.253562 -0.118786 -0.116712 -0.105661 98.239796 98.520408 98.724490 6
121 -0.253926 -0.253680 -0.253373 -0.104996 -0.101508 -0.095640 97.448980 97.959184 98.239796 6
122 -0.253991 -0.253632 -0.253410 -0.122209 -0.114487 -0.112012 98.188776 98.418367 98.724490 6
123 -0.254441 -0.253866 -0.253487 -0.118563 -0.115494 -0.113319 98.163265 98.163265 98.316327 6
124 -0.254613 -0.254442 -0.254138 -0.121247 -0.114137 -0.104718 98.163265 98.520408 98.724490 6
125 -0.254580 -0.254220 -0.254076 -0.121162 -0.115604 -0.111114 98.290816 98.469388 98.724490 6
126 -0.254424 -0.254035 -0.253469 -0.123768 -0.113456 -0.094836 98.010204 98.265306 98.596939 6
127 -0.254530 -0.254487 -0.253814 -0.123184 -0.113057 -0.107720 98.188776 98.367347 98.698980 6
128 -0.254641 -0.253912 -0.253296 -0.122214 -0.115709 -0.074327 97.627551 98.214286 98.418367 6
129 -0.254637 -0.254408 -0.253338 -0.123633 -0.119123 -0.102388 98.035714 98.265306 98.724490 6
130 -0.254363 -0.254240 -0.253840 -0.118883 -0.111462 -0.106372 98.112245 98.316327 98.673469 6
131 -0.254799 -0.254348 -0.253605 -0.118434 -0.117746 -0.106949 97.984694 98.112245 98.469388 6
132 -0.254889 -0.254524 -0.253973 -0.118835 -0.116983 -0.112025 98.367347 98.367347 98.520408 6
133 -0.254599 -0.254442 -0.254152 -0.123855 -0.113312 -0.107299 98.163265 98.316327 98.622449 6
134 -0.255421 -0.254866 -0.253887 -0.124611 -0.113155 -0.109086 98.214286 98.367347 98.596939 6
135 -0.255155 -0.254788 -0.254473 -0.122555 -0.117693 -0.103427 98.163265 98.265306 98.520408 6
