kimg	fid	precision	recall
815	35.7547032	0.590262571	0.0378402364
817.5	35.7583103	0.590298977	0.0378521859
820	35.7825797	0.590528962	0.0380111199
822.5	35.8264761	0.590948981	0.0382983128
825	35.8876156	0.591540219	0.0386977321
827.5	35.9636246	0.592283858	0.0391933455
830	36.0521296	0.593161084	0.0397691207
832.5	36.1507479	0.594153081	0.0404090253
835	36.2570795	0.595241032	0.041097027
837.5	36.3687018	0.596406121	0.0418170933
840	36.4831645	0.597629534	0.042553192
842.5	36.5979875	0.598892454	0.0432892907
845	36.7106593	0.600176065	0.0440093571
847.5	36.8186379	0.601461552	0.0446973587
850	36.9193528	0.602730098	0.0453372633
852.5	37.0102099	0.603962888	0.0459130385
855	37.0885965	0.605141106	0.0464086519
857.5	37.1518898	0.606245936	0.0468080712
860	37.1974661	0.607258562	0.0470952641
862.5	37.2227122	0.608160168	0.0472541981
865	37.2249935	0.608946404	0.0472722185
867.5	37.2030445	0.609735757	0.0471736997
870	37.1591676	0.610552029	0.0469765819
872.5	37.0961106	0.611387119	0.0466928894
875	37.016636	0.612232927	0.0463346464
877.5	36.9235077	0.613081352	0.0459138773
880	36.8194799	0.613924293	0.0454426063
882.5	36.7072886	0.61475365	0.0449328576
885	36.589644	0.615561321	0.0443966555
887.5	36.469226	0.616339206	0.0438460243
890	36.348681	0.617079204	0.0432929883
892.5	36.2306208	0.617773215	0.0427495717
895	36.1176238	0.618413137	0.0422277987
897.5	36.012237	0.618990869	0.0417396937
900	35.9169813	0.619498312	0.0412972809
902.5	35.8343574	0.619927363	0.0409125846
905	35.7668537	0.620269923	0.040597629
907.5	35.7169564	0.620517891	0.0403644384
910	35.6871611	0.620663165	0.0402250371
912.5	35.6795737	0.620699748	0.0401904734
915	35.6824338	0.620690948	0.0402365822
917.5	35.6890707	0.620669832	0.0403449463
920	35.6990939	0.620636724	0.0405109929
922.5	35.7121138	0.620591946	0.0407301496
925	35.7277408	0.620535824	0.0409978436
927.5	35.7455855	0.62046868	0.0413095025
930	35.765258	0.620390837	0.0416605534
932.5	35.7863678	0.62030262	0.042046424
935	35.8085239	0.620204351	0.0424625415
937.5	35.8313343	0.620096355	0.0429043334
940	35.854406	0.619978955	0.0433672269
942.5	35.8773452	0.619852474	0.0438466497
945	35.899757	0.619717235	0.0443380289
947.5	35.9212453	0.619573563	0.044836792
950	35.9414136	0.619421781	0.0453383664
952.5	35.9598641	0.619262213	0.0458381795
955	35.9761988	0.619095181	0.0463316587
957.5	35.9900191	0.61892101	0.0468142314
960	36.0009264	0.618740022	0.0472813249
962.5	36.010185	0.618503424	0.0477493799
965	36.0192952	0.618166537	0.0482373784
967.5	36.0282121	0.617735863	0.0487445601
970	36.0368909	0.617217901	0.0492701644
972.5	36.0452867	0.616619152	0.049813431
975	36.0533546	0.615946115	0.0503735994
977.5	36.0610495	0.615205291	0.0509499092
980	36.0683265	0.614403181	0.0515415999
982.5	36.0751406	0.613546283	0.0521479111
985	36.0814467	0.6126411	0.0527680824
987.5	36.0871998	0.61169413	0.0534013533
990	36.0923548	0.610711873	0.0540469634
992.5	36.0968667	0.609700831	0.0547041522
995	36.1006904	0.608667504	0.0553721594
997.5	36.103781	0.60761839	0.0560502244
1000	36.1060933	0.606559992	0.0567375869
